[ 2026-03-10 23:22:51,071 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-03-10 23:22:52,199 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-03-10 23:22:53,300 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-03-10 23:22:53,311 ] 107 dagshub - INFO - Accessing as Nimisha1518
[ 2026-03-10 23:22:53,991 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Nimisha1518/networksecurity "HTTP/1.1 200 OK"
[ 2026-03-10 23:22:54,987 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-03-10 23:22:55,005 ] 107 dagshub - INFO - Initialized MLflow to track repo "Nimisha1518/networksecurity"
[ 2026-03-10 23:22:55,005 ] 107 dagshub - INFO - Repository Nimisha1518/networksecurity initialized!
[ 2026-03-10 23:22:55,005 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-10 23:23:01,272 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-10 23:23:01,273 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-10 23:23:01,274 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-10 23:23:01,377 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-10 23:23:01,378 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-10 23:23:01,399 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-10 23:23:01,480 ] 32 root - INFO - Required number of columns:2
[ 2026-03-10 23:23:01,480 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-10 23:23:01,480 ] 32 root - INFO - Required number of columns:2
[ 2026-03-10 23:23:01,481 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-10 23:23:01,684 ] 28 root - INFO - data Validation Completed
[ 2026-03-10 23:23:01,684 ] 31 root - INFO - data Transformation started
[ 2026-03-10 23:23:01,684 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-10 23:23:01,684 ] 65 root - INFO - Starting data transformation
[ 2026-03-10 23:23:01,737 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-10 23:23:01,737 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-10 23:23:01,781 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-10 23:23:01,790 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-10 23:23:01,790 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-10 23:23:01,797 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-10 23:23:01,799 ] 35 root - INFO - data Transformation completed
[ 2026-03-10 23:23:01,800 ] 37 root - INFO - Model Training sstared
