[ 2026-03-10 22:45:37,579 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-10 22:45:44,229 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-10 22:45:44,230 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-10 22:45:44,231 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-10 22:45:44,335 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-10 22:45:44,336 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-10 22:45:44,353 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-10 22:45:44,453 ] 32 root - INFO - Required number of columns:2
[ 2026-03-10 22:45:44,453 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-10 22:45:44,453 ] 32 root - INFO - Required number of columns:2
[ 2026-03-10 22:45:44,453 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-10 22:45:44,710 ] 28 root - INFO - data Validation Completed
[ 2026-03-10 22:45:44,710 ] 31 root - INFO - data Transformation started
[ 2026-03-10 22:45:44,711 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-10 22:45:44,711 ] 65 root - INFO - Starting data transformation
[ 2026-03-10 22:45:44,794 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-10 22:45:44,794 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-10 22:45:44,820 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-10 22:45:44,827 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-10 22:45:44,827 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-10 22:45:44,833 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-10 22:45:44,834 ] 35 root - INFO - data Transformation completed
[ 2026-03-10 22:45:44,834 ] 37 root - INFO - Model Training sstared
